"","year","state","industry","unioncovpct_ind","state_cens","sector","nobs","empl","member","covered","pctmem","pctcov","state2","unioncovpct_state","unioncovpct_combined","idvar","naics","robotpct_ind","robotpct_state","robotpct_combined","stateyear","medianhouseinc","unemprate","femalepct","manufemp","healthins","oldage","wage"
"25",2019,"Connecticut","Manufacturing",9.47362035512924,16,"Total",1721,1680598.08144167,243824.9352,268293.0212,0.145082235336304,0.159641399979591,"CT",15.9641399979591,12.7188801765442,"Connecticut-Manufacturing-2019","31-33",26,16.9,21.45,"Connecticut-2019",78.833,5.3,62,9.9,94.1,7.3,68.32
"26",2020,"Connecticut","Manufacturing",9.24318060278893,16,"Total",1411,1523509.77720833,260509.756458333,280200.515025,0.170993164181709,0.183917760848999,"CT",18.3917760848999,13.8174783438444,"Connecticut-Manufacturing-2020","31-33",23.5,13.3,18.4,"Connecticut-2020",79.855,6,61.8,10.5,94.9,7.2,69.88
"27",2021,"Connecticut","Manufacturing",8.67823101580143,16,"Total",1379,1522509.00601667,222159.007066667,247202.424141667,0.145916387438774,0.162365168333054,"CT",16.2365168333054,12.4573739245534,"Connecticut-Manufacturing-2021","31-33",27.8,16.2,22,"Connecticut-2021",83.771,6.7,61.4,11.1,94.8,8.6,69.07
"28",2018,"Delaware","Manufacturing",9.78059358894825,51,"Total",1844,433455.143041666,44834.5977916667,46892.3861333333,0.103435382246971,0.108182787895203,"DE",10.8182787895203,10.2994361892343,"Delaware-Manufacturing-2018","31-33",23.2,11.7,17.45,"Delaware-2018",64.805,5.7,58.3,8.9,94.3,6.1,52.7
"29",2019,"Delaware","Manufacturing",9.47362035512924,51,"Total",1639,432587.95075,37745.785475,42886.6942583334,0.0872557461261749,0.0991398245096207,"DE",9.91398245096207,9.69380140304565,"Delaware-Manufacturing-2019","31-33",26,8.4,17.2,"Delaware-2019",70.176,4.6,58.9,6.9,93.4,7.3,53.12
"30",2020,"Delaware","Manufacturing",9.24318060278893,51,"Total",1448,424179.351358333,42011.5875083333,44541.8031166667,0.099042035639286,0.105007007718086,"DE",10.5007007718086,9.87194068729877,"Delaware-Manufacturing-2020","31-33",23.5,9.2,16.35,"Delaware-2020",69.11,5.8,58.2,8,94.2,6.5,52.38
"31",2021,"Delaware","Manufacturing",8.67823101580143,51,"Total",1491,434713.291858334,42402.1402166667,44189.3144083333,0.0975404754281044,0.101651631295681,"DE",10.1651631295681,9.42169707268476,"Delaware-Manufacturing-2021","31-33",27.8,24,25.9,"Delaware-2021",71.091,5.6,57,6.6,94.3,6.9,56.3
"32",2018,"Florida","Manufacturing",9.78059358894825,59,"Total",6662,8712508.57215834,484161.859558333,587641.159608334,0.0555708892643452,0.0674479827284813,"FL",6.74479827284813,8.26269593089819,"Florida-Manufacturing-2018","31-33",23.2,12.1,17.65,"Florida-2018",55.462,5.2,54.3,5.1,87,10.6,49.67
"33",2019,"Florida","Manufacturing",9.47362035512924,59,"Total",6570,8829407.22233337,551027.889633333,666602.737108333,0.0624082535505295,0.0754980146884918,"FL",7.54980146884918,8.51171091198921,"Florida-Manufacturing-2019","31-33",26,13.6,19.8,"Florida-2019",59.227,4.5,55,4.9,86.8,10.7,50.51
"34",2020,"Florida","Manufacturing",9.24318060278893,59,"Total",5565,8150539.45516665,525489.652591667,645837.701866666,0.0644729882478714,0.0792386457324028,"FL",7.92386457324028,8.5835225880146,"Florida-Manufacturing-2020","31-33",23.5,10,16.75,"Florida-2020",57.703,5.4,54.5,5.1,87.3,10.5,52.52
"35",2021,"Florida","Manufacturing",8.67823101580143,59,"Total",6057,8667534.51853332,448787.85685,529534.293925,0.0517780296504498,0.0610939934849739,"FL",6.10939934849739,7.39381518214941,"Florida-Manufacturing-2021","31-33",27.8,13.4,20.6,"Florida-2021",63.062,5.6,54.6,5.4,87.9,11,54.1
"36",2018,"Georgia","Manufacturing",9.78059358894825,58,"Total",3626,4466531.372925,200070.250975,247747.1166,0.0447932034730911,0.0554674528539181,"GA",5.54674528539181,7.66366943717003,"Georgia-Manufacturing-2018","31-33",23.2,23.3,23.25,"Georgia-2018",58.756,4.8,58.5,10.8,86.3,10.2,45.89
"37",2019,"Georgia","Manufacturing",9.47362035512924,58,"Total",3531,4416491.65050833,179543.616825,222152.6754,0.0406529940664768,0.0503007136285305,"GA",5.03007136285305,7.25184585899115,"Georgia-Manufacturing-2019","31-33",26,28,27,"Georgia-2019",61.98,4.8,58.8,10.6,86.6,10.4,46.84
"38",2020,"Georgia","Manufacturing",9.24318060278893,58,"Total",2951,4174060.27776666,194261.47175,271317.141541667,0.0465401709079742,0.0650007724761963,"GA",6.50007724761963,7.87162892520428,"Georgia-Manufacturing-2020","31-33",23.5,24.3,23.9,"Georgia-2020",61.224,5.6,58.8,10.5,87,10.1,48.43
"39",2021,"Georgia","Manufacturing",8.67823101580143,58,"Total",3015,4404154.58066667,210781.539741667,255407.945716667,0.0478597059845924,0.0579925030469894,"GA",5.79925030469894,7.23874066025019,"Georgia-Manufacturing-2021","31-33",27.8,28.5,28.15,"Georgia-2021",66.559,5.5,58.7,10.3,87.4,10,49.98
"40",2018,"Idaho","Manufacturing",9.78059358894825,82,"Total",2579,733077.860925,34244.0949083333,41403.6739,0.0467127673327923,0.0564792305231094,"ID",5.64792305231094,7.7142583206296,"Idaho-Manufacturing-2018","31-33",23.2,20.3,21.75,"Idaho-2018",55.583,4,56.8,10.2,88.9,8.6,49.38
"41",2019,"Idaho","Manufacturing",9.47362035512924,82,"Total",2570,764351.713399999,37553.8499666667,46321.5672916667,0.0491316355764866,0.0606024265289307,"ID",6.06024265289307,7.76693150401115,"Idaho-Manufacturing-2019","31-33",26,20.4,23.2,"Idaho-2019",60.999,3.3,58.4,9.6,89.2,6.9,50.89
"42",2020,"Idaho","Manufacturing",9.24318060278893,82,"Total",2343,730782.952725001,41053.8290166667,47111.3988583333,0.0561778694391251,0.0644670203328133,"ID",6.44670203328133,7.84494131803513,"Idaho-Manufacturing-2020","31-33",23.5,20.6,22.05,"Idaho-2020",58.915,4.2,57.1,9.6,89.6,7.9,53.3
"43",2021,"Idaho","Manufacturing",8.67823101580143,82,"Total",2376,765514.766216668,35741.0376416667,42193.4852916666,0.0466888956725597,0.0551177933812141,"ID",5.51177933812141,7.09500517696142,"Idaho-Manufacturing-2021","31-33",27.8,21.5,24.65,"Idaho-2021",66.474,3.3,57.5,10,91.2,9.5,48.86
"44",2018,"Illinois","Manufacturing",9.78059358894825,33,"Total",4646,5693575.38190834,785965.815291667,839168.311583333,0.138044327497482,0.147388637065887,"IL",14.7388637065887,12.2597286477685,"Illinois-Manufacturing-2018","31-33",23.2,24,23.6,"Illinois-2018",65.03,5.5,60.7,11.8,93,8.8,54.14
"45",2019,"Illinois","Manufacturing",9.47362035512924,33,"Total",4320,5660933.76143334,771464.710249999,833095.339541666,0.136278703808784,0.147165715694427,"IL",14.7165715694427,12.095095962286,"Illinois-Manufacturing-2019","31-33",26,29.5,27.75,"Illinois-2019",69.187,4.8,60.7,11.8,92.6,8.6,54.79
"46",2020,"Illinois","Manufacturing",9.24318060278893,33,"Total",3745,5176009.15815834,736186.01075,785274.3027,0.142230436205864,0.151714235544205,"IL",15.1714235544205,12.2073020786047,"Illinois-Manufacturing-2020","31-33",23.5,23.9,23.7,"Illinois-2020",68.428,6,60.6,11.7,93.2,8.8,55.4
"47",2021,"Illinois","Manufacturing",8.67823101580143,33,"Total",3773,5396680.14858335,752063.291983333,818268.248266666,0.139356657862663,0.151624366641045,"IL",15.1624366641045,11.9203338399529,"Illinois-Manufacturing-2021","31-33",27.8,29,28.4,"Illinois-2021",72.205,7.4,60.3,11.9,93,10,56.48
"48",2018,"Indiana","Manufacturing",9.78059358894825,32,"Total",2846,3051383.4439,269025.4675,283151.830283333,0.0881650820374489,0.0927945747971535,"IN",9.27945747971535,9.5300255343318,"Indiana-Manufacturing-2018","31-33",23.2,29.8,26.5,"Indiana-2018",55.746,4.4,59.3,19.4,91.7,7.9,47.65
"49",2019,"Indiana","Manufacturing",9.47362035512924,32,"Total",2620,3008608.56343333,248802.307525,295103.815933333,0.0826968029141426,0.0980864763259888,"IN",9.80864763259888,9.64113399386406,"Indiana-Manufacturing-2019","31-33",26,31.5,28.75,"Indiana-2019",57.603,4.2,59.4,18.5,91.3,7.7,49.7
"50",2020,"Indiana","Manufacturing",9.24318060278893,32,"Total",2273,2837580.632625,234063.937658333,271097.130141667,0.0824871510267258,0.0955381244421005,"IN",9.55381244421005,9.39849652349949,"Indiana-Manufacturing-2020","31-33",23.5,27.4,25.45,"Indiana-2020",58.235,4.7,59.1,18.7,92,7.4,51.23
"51",2021,"Indiana","Manufacturing",8.67823101580143,32,"Total",2322,2843033.08610833,255682.105233333,289545.670816667,0.0899328663945198,0.101843930780888,"IN",10.1843930780888,9.4313120469451,"Indiana-Manufacturing-2021","31-33",27.8,29,28.4,"Indiana-2021",62.743,4.7,58.6,18.2,92.5,8.6,53.63
"52",2018,"Iowa","Manufacturing",9.78059358894825,42,"Total",1972,1461068.83728334,112771.035675,129144.088025,0.0771839320659637,0.0883901491761208,"IA",8.83901491761208,9.30980425328016,"Iowa-Manufacturing-2018","31-33",23.2,31.4,27.3,"Iowa-2018",59.955,3.6,62.7,15.1,95.3,7.1,47.72
"53",2019,"Iowa","Manufacturing",9.47362035512924,42,"Total",2088,1544328.75866667,96938.6436833334,121465.49915,0.0627707317471504,0.0786526203155518,"IA",7.86526203155518,8.66944119334221,"Iowa-Manufacturing-2019","31-33",26,32.6,29.3,"Iowa-2019",61.691,3.7,62.8,15.1,95,7.4,49.24
"54",2020,"Iowa","Manufacturing",9.24318060278893,42,"Total",1759,1399233.85941667,92035.9830083334,127232.565366667,0.0657759830355644,0.090930163860321,"IA",9.0930163860321,9.16809849441051,"Iowa-Manufacturing-2020","31-33",23.5,27.6,25.55,"Iowa-2020",61.836,3.9,62.7,14.7,95.3,7,50.62
"55",2021,"Iowa","Manufacturing",8.67823101580143,42,"Total",1643,1426247.75021667,92819.858425,117738.099708333,0.0650797560811043,0.0825509428977966,"IA",8.25509428977966,8.46666265279055,"Iowa-Manufacturing-2021","31-33",27.8,35.4,31.6,"Iowa-2021",65.6,3.6,61.9,15,95.2,8.4,53.64
"56",2018,"Kansas","Manufacturing",9.78059358894825,47,"Total",2079,1284599.49406667,90558.4891166667,129282.525666667,0.0704955011606216,0.100640334188938,"KS",10.0640334188938,9.92231350392103,"Kansas-Manufacturing-2018","31-33",23.2,31,27.1,"Kansas-2018",58.218,3.8,61.4,12.3,91.2,8,48.7
"57",2019,"Kansas","Manufacturing",9.47362035512924,47,"Total",2033,1280818.39591667,111105.287291667,129275.148775,0.0867455452680588,0.10093167424202,"KS",10.093167424202,9.7833938896656,"Kansas-Manufacturing-2019","31-33",26,36.2,31.1,"Kansas-2019",62.087,3.8,61.7,12.6,90.8,7.2,50.24
"58",2020,"Kansas","Manufacturing",9.24318060278893,47,"Total",1901,1281583.90251666,113273.489916667,143859.675025,0.0883855447173119,0.112251468002796,"KS",11.2251468002796,10.2341637015343,"Kansas-Manufacturing-2020","31-33",23.5,33.9,28.7,"Kansas-2020",61.091,4.1,61.6,12.5,91.3,7.7,51.41
"59",2021,"Kansas","Manufacturing",8.67823101580143,47,"Total",1853,1300690.58775833,119599.810308333,147381.597441666,0.0919510051608086,0.113310270011425,"KS",11.3310270011425,10.004629008472,"Kansas-Manufacturing-2021","31-33",27.8,40.1,33.95,"Kansas-2021",64.124,4.4,61.2,11.8,90.8,9.1,52.07
"60",2018,"Kentucky","Manufacturing",9.78059358894825,61,"Total",1876,1810365.73865001,160209.401175,206137.28885,0.088495597243309,0.113864995539188,"KY",11.3864995539188,10.5835465714335,"Kentucky-Manufacturing-2018","31-33",23.2,32,27.6,"Kentucky-2018",50.247,5.2,54.8,13.9,94.4,10.2,46.86
"61",2019,"Kentucky","Manufacturing",9.47362035512924,61,"Total",1683,1785878.66724167,143088.887675,168555.676408333,0.0801224038004875,0.0943824872374535,"KY",9.43824872374535,9.45593453943729,"Kentucky-Manufacturing-2019","31-33",26,39,32.5,"Kentucky-2019",52.295,4.8,54.9,14.3,93.6,11.6,47.9
"62",2020,"Kentucky","Manufacturing",9.24318060278893,61,"Total",1520,1691407.11766667,126137.559191667,158323.085141667,0.0745755136013031,0.0936043635010719,"KY",9.36043635010719,9.30180847644806,"Kentucky-Manufacturing-2020","31-33",23.5,34.6,29.05,"Kentucky-2020",52.238,5.4,55.2,14.3,94.4,11,49.31
"63",2021,"Kentucky","Manufacturing",8.67823101580143,61,"Total",1537,1738084.64928333,124914.098016667,169277.430575,0.071868821978569,0.097393088042736,"KY",9.7393088042736,9.20876991003752,"Kentucky-Manufacturing-2021","31-33",27.8,35,31.4,"Kentucky-2021",55.573,5.4,54.7,14.4,94.3,11.7,51.58
"64",2018,"Louisiana","Manufacturing",9.78059358894825,72,"Total",3299,1787075.90218333,89016.0169083334,103899.329425,0.0498109869658947,0.05813929438591,"LA",5.813929438591,7.79726151376963,"Louisiana-Manufacturing-2018","31-33",23.2,13.8,18.5,"Louisiana-2018",47.905,6.4,55.1,7.7,92,12.4,54.76
"65",2019,"Louisiana","Manufacturing",9.47362035512924,72,"Total",3268,1779714.8789,94069.8782,107457.054966667,0.0528567135334015,0.0603788048028946,"LA",6.03788048028946,7.75575041770935,"Louisiana-Manufacturing-2019","31-33",26,13.4,19.7,"Louisiana-2019",51.073,5.5,55.3,7.3,91.1,13.2,56.6
"66",2020,"Louisiana","Manufacturing",9.24318060278893,72,"Total",2810,1681295.75945833,98966.17315,112880.886041667,0.0588630363345146,0.0671392232179642,"LA",6.71392232179642,7.97855146229267,"Louisiana-Manufacturing-2020","31-33",23.5,12.6,18.05,"Louisiana-2020",50.8,6.6,55.3,7.6,91.3,11.9,59.15
"67",2021,"Louisiana","Manufacturing",8.67823101580143,72,"Total",2822,1722710.39881666,80763.7306666666,98463.3982,0.0468817800283432,0.0571560934185982,"LA",5.71560934185982,7.19692017883062,"Louisiana-Manufacturing-2021","31-33",27.8,18.9,23.35,"Louisiana-2021",52.087,7.6,55.2,7.2,92.4,14.1,60.18
"68",2018,"Maine","Manufacturing",9.78059358894825,11,"Total",1302,572761.129974999,73904.7573416667,84691.5879083334,0.129032418131828,0.147865459322929,"ME",14.7865459322929,12.2835697606206,"Maine-Manufacturing-2018","31-33",23.2,29.2,26.2,"Maine-2018",55.602,3.5,59.7,8.6,92,9.1,49.92
"69",2019,"Maine","Manufacturing",9.47362035512924,11,"Total",1226,589203.931200001,69424.404925,80850.5781333333,0.117827460169792,0.137220025062561,"ME",13.7220025062561,11.5978114306927,"Maine-Manufacturing-2019","31-33",26,35.2,30.6,"Maine-2019",58.924,3.5,59.3,8.7,92,8.5,51.48
"70",2020,"Maine","Manufacturing",9.24318060278893,11,"Total",1113,556949.762816667,81184.6501416667,92623.068925,0.14576655626297,0.166304171085358,"ME",16.6304171085358,12.9367988556623,"Maine-Manufacturing-2020","31-33",23.5,37.7,30.6,"Maine-2020",59.489,4,59.6,8.7,92.4,8.5,53.79
"71",2021,"Maine","Manufacturing",8.67823101580143,11,"Total",1022,562840.787341666,69647.8457916667,82797.8926416666,0.123743422329426,0.147107124328613,"ME",14.7107124328613,11.6944717243314,"Maine-Manufacturing-2021","31-33",27.8,38,32.9,"Maine-2021",64.767,4.9,57.9,9.8,94.3,9.2,54.57
"72",2018,"Maryland","Manufacturing",9.78059358894825,52,"Total",2263,2781321.44276667,306318.055633334,334615.071441667,0.110133998095989,0.120307944715023,"MD",12.0307944715023,10.9056940302253,"Maryland-Manufacturing-2018","31-33",23.2,17.6,20.4,"Maryland-2018",83.242,4.9,63.8,4.5,94,7.3,64.35
"73",2019,"Maryland","Manufacturing",9.47362035512924,52,"Total",2091,2909903.01382501,328812.953191667,370487.438958334,0.112997904419899,0.127319514751434,"MD",12.7319514751434,11.1027859151363,"Maryland-Manufacturing-2019","31-33",26,17.9,21.95,"Maryland-2019",86.738,4.5,63.7,4.3,94,7.8,66.18
"74",2020,"Maryland","Manufacturing",9.24318060278893,52,"Total",1805,2694148.7317,352667.854591667,381563.416825,0.130901411175728,0.141626715660095,"MD",14.1626715660095,11.7029260843992,"Maryland-Manufacturing-2020","31-33",23.5,13.8,18.65,"Maryland-2020",87.063,5.2,63.6,4.5,94.1,7.9,68.44
"75",2021,"Maryland","Manufacturing",8.67823101580143,52,"Total",1774,2689273.96645,293968.536933333,331435.068666666,0.109311483800411,0.123243324458599,"MD",12.3243324458599,10.5012817308307,"Maryland-Manufacturing-2021","31-33",27.8,21.5,24.65,"Maryland-2021",90.203,5.9,62.5,4.9,93.9,9.1,69.67
"76",2018,"Massachusetts","Manufacturing",9.78059358894825,14,"Total",3744,3392452.28727499,462738.796283333,490970.14495,0.136402443051338,0.144724264740944,"MA",14.4724264740944,12.1265100315213,"Massachusetts-Manufacturing-2018","31-33",23.2,16.2,19.7,"Massachusetts-2018",79.835,4.8,63.2,8.6,97.2,9.1,66.13
"77",2019,"Massachusetts","Manufacturing",9.47362035512924,14,"Total",3535,3393047.54160833,406341.096108334,448921.543891667,0.119756974279881,0.132306292653084,"MA",13.2306292653084,11.3521248102188,"Massachusetts-Manufacturing-2019","31-33",26,20.8,23.4,"Massachusetts-2019",85.843,3.9,63.7,8.6,97,9.1,67.99
"78",2020,"Massachusetts","Manufacturing",9.24318060278893,14,"Total",2954,2987256.17103334,357740.277583333,384272.875716666,0.119755476713181,0.128637403249741,"MA",12.8637403249741,11.0534604638815,"Massachusetts-Manufacturing-2020","31-33",23.5,17.9,20.7,"Massachusetts-2020",84.385,5.1,63.4,8.8,97.3,8.9,71.33
"79",2021,"Massachusetts","Manufacturing",8.67823101580143,14,"Total",3100,3182737.84914166,401304.101416666,432563.698091666,0.126087695360184,0.135909304022789,"MA",13.5909304022789,11.1345807090402,"Massachusetts-Manufacturing-2021","31-33",27.8,21.5,24.65,"Massachusetts-2021",89.645,6.6,63.1,8.9,97.5,10.6,73.36
"80",2018,"Michigan","Manufacturing",9.78059358894825,34,"Total",3689,4318617.77428333,624598.149558334,662455.79875,0.144629180431366,0.15339532494545,"MI",15.339532494545,12.5600630417466,"Michigan-Manufacturing-2018","31-33",23.2,35.6,29.4,"Michigan-2018",56.697,5.3,57,18.8,94.6,9,51.64
"81",2019,"Michigan","Manufacturing",9.47362035512924,34,"Total",3535,4324868.71914165,591147.533516667,649732.071658334,0.136685654520988,0.150231629610062,"MI",15.0231629610062,12.2483916580677,"Michigan-Manufacturing-2019","31-33",26,40.5,33.25,"Michigan-2019",59.584,5,57.5,18.5,94.2,8.4,52.18
"82",2020,"Michigan","Manufacturing",9.24318060278893,34,"Total",3055,3978295.12545832,605090.285666666,661431.668883334,0.152097880840302,0.166260078549385,"MI",16.6260078549385,12.9345942288637,"Michigan-Manufacturing-2020","31-33",23.5,36.2,29.85,"Michigan-2020",59.234,6,57.2,18.6,94.6,8.5,54.44
"83",2021,"Michigan","Manufacturing",8.67823101580143,34,"Total",2966,4049359.17238333,538700.922658334,618951.173783333,0.133033618330956,0.152851641178131,"MI",15.2851641178131,11.9816975668073,"Michigan-Manufacturing-2021","31-33",27.8,44.4,36.1,"Michigan-2021",63.498,6.9,56.5,18.6,95,9.3,55.36
"84",2018,"Minnesota","Manufacturing",9.78059358894825,41,"Total",2304,2637049.50702501,395407.374566667,421226.224466667,0.149943098425865,0.159733906388283,"MN",15.9733906388283,12.8769921138883,"Minnesota-Manufacturing-2018","31-33",23.2,24.5,23.85,"Minnesota-2018",70.315,3.4,65.9,13.1,95.6,7.6,55.86
