"","unioncovpct_ind","idvarind","naics","industry","year","robotpct_ind","wage_industry"
"62",8.98035354912281,"Fabricated metal product manufacturing-2019","332","Fabricated metal product manufacturing","2019",24.2,49.0555769230769
"63",9.84682659618556,"Fabricated metal product manufacturing-2020","332","Fabricated metal product manufacturing","2020",22.7,50.4434615384615
"64",8.3925544982776,"Fabricated metal product manufacturing-2021","332","Fabricated metal product manufacturing","2021",28.8,51.3888461538462
"65",7.29657560586929,"Machinery manufacturing-2018","333","Machinery manufacturing","2018",28.7,54.8912244897959
"66",8.96550342440605,"Machinery manufacturing-2019","333","Machinery manufacturing","2019",29.7,56.0532
"67",7.4184350669384,"Machinery manufacturing-2020","333","Machinery manufacturing","2020",26.8,57.8332653061224
"68",6.7692257463932,"Machinery manufacturing-2021","333","Machinery manufacturing","2021",32.4,59.4764
"69",4.3506911645333,"Computer and electronic product manufacturing-2018","334","Computer and electronic product manufacturing","2018",15.5,67.3558
"70",3.02051923548182,"Computer and electronic product manufacturing-2019","334","Computer and electronic product manufacturing","2019",19,70.115
"71",3.15009765326977,"Computer and electronic product manufacturing-2020","334","Computer and electronic product manufacturing","2020",15.5,71.6429166666667
"72",1.37876172860463,"Computer and electronic product manufacturing-2021","334","Computer and electronic product manufacturing","2021",17,74.5157142857143
"73",6.2255160883069,"Electrical equipment, appliance, and component manufacturing-2018","335","Electrical equipment, appliance, and component manufacturing","2018",28.2,52.96875
"74",10.227920114994,"Electrical equipment, appliance, and component manufacturing-2019","335","Electrical equipment, appliance, and component manufacturing","2019",34.8,54.8135416666667
"75",10.7857219874859,"Electrical equipment, appliance, and component manufacturing-2020","335","Electrical equipment, appliance, and component manufacturing","2020",26.9,56.3655319148936
"76",10.033318772912,"Electrical equipment, appliance, and component manufacturing-2021","335","Electrical equipment, appliance, and component manufacturing","2021",37.3,58.0341666666667
"77",16.3348662356536,"Transportation equipment manufacturing-2018","336","Transportation equipment manufacturing","2018",40.1,58.3263265306122
"78",13.6295746391018,"Transportation equipment manufacturing-2019","336","Transportation equipment manufacturing","2019",48.1,60.4964
"79",11.7522398785998,"Transportation equipment manufacturing-2020","336","Transportation equipment manufacturing","2020",47.8,61.550625
"80",15.1395083715518,"Transportation equipment manufacturing-2021","336","Transportation equipment manufacturing","2021",51.6,63.5557142857143
"81",8.57872366905212,"Furniture and related product manufacturing-2018","337","Furniture and related product manufacturing","2018",15.9,42.1709615384615
"82",6.36792257428169,"Furniture and related product manufacturing-2019","337","Furniture and related product manufacturing","2019",19.6,42.9829411764706
"83",4.67502847313881,"Furniture and related product manufacturing-2020","337","Furniture and related product manufacturing","2020",15.7,44.5735294117647
"84",4.59409765899181,"Furniture and related product manufacturing-2021","337","Furniture and related product manufacturing","2021",19.2,44.9925490196078
"85",6.02167323231697,"Miscellaneous manufacturing-2018","339","Miscellaneous manufacturing","2018",15.5,51.1111538461538
"86",6.44496772438288,"Miscellaneous manufacturing-2019","339","Miscellaneous manufacturing","2019",19.5,53.0869230769231
"87",7.55185168236494,"Miscellaneous manufacturing-2020","339","Miscellaneous manufacturing","2020",16.5,54.6369230769231
"88",8.38015675544739,"Miscellaneous manufacturing-2021","339","Miscellaneous manufacturing","2021",19.9,53.0386274509804
